Job Title,Company,Location,Job Type,Experience,Posted Date,Job Link
Full Stack Software Engineer,Atlassian,United States,Remote,3-8,2025-10-09,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-atlassian-4302059701?position=11&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=iySCtjD9zYjTZ0Tgto7w3w%3D%3D
Associate Software Engineer,Valcon Pvt Ltd,India,Contract,0,2025-10-09,https://in.linkedin.com/jobs/view/associate-software-engineer-at-valcon-pvt-ltd-4311859893?position=12&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=knyYEwI%2BNs1%2BahqGvW6c3Q%3D%3D
Junior Software Developer,Lensa,United States,Contract / Full-time,0-1,Not specified,https://www.linkedin.com/jobs/view/junior-software-developer-at-lensa-4313605187?position=13&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=wgjy8tVf6DmVikUNzq2yLA%3D%3D
Full-Stack Engineer,Metaculus,Germany,Full-time,4-9,Not specified,https://de.linkedin.com/jobs/view/full-stack-engineer-at-metaculus-4313268365?position=14&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=Q8AUJJv0cySBBOzmGJUJCw%3D%3D
Software Engineer,Red Hat,"Raleigh, NC",Full-time,1-2,2025-10-10,https://www.linkedin.com/jobs/view/software-engineer-at-red-hat-4302412991?position=17&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=YM6%2BA4LzbA08vW45B4QPKg%3D%3D
Junior Software Engineer,Aquia,United States,Remote,3-6,Not specified,https://www.linkedin.com/jobs/view/junior-software-engineer-at-aquia-4303107888?position=18&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=ZZHKlc8NFcUEJcrwyxRzDA%3D%3D
Junior Backend Software Engineer,CardFlight,United States,Remote,0-1,2025-10-09,https://www.linkedin.com/jobs/view/junior-backend-software-engineer-at-cardflight-4289644729?position=19&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=PHlrw%2BtsqxmRSXjOjAiDIQ%3D%3D
Software Engineer,ServiceNow,"Santa Clara, CA",Full-time,3-8,2025-10-09,https://www.linkedin.com/jobs/view/software-engineer-at-servicenow-4312371395?position=20&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=SYUrQae4aOwn2CUC7v8D1w%3D%3D
Software Engineer,Buildout,United States,Full-time,0,2025-10-08,https://www.linkedin.com/jobs/view/software-engineer-at-buildout-4311767874?position=21&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=phHPBnTOKowE27p6B9Fz9Q%3D%3D
Junior UI Software Developer,Keyfactor,United States,Full-time,2,Not specified,https://www.linkedin.com/jobs/view/junior-ui-software-developer-at-keyfactor-4293019029?position=22&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=C0LbQQ6BEkPdHp7rXmXgaQ%3D%3D
Full-stack Software Engineer,Inventi,"Vilnius, Vilniaus, Lithuania",Full-time,2-7,2025-10-08,https://lt.linkedin.com/jobs/view/full-stack-software-engineer-at-inventi-4311542633?position=24&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=%2FTrzCPIKVybgKuOTwQnYrQ%3D%3D
Full Stack Developer,Black Flag Creative,United States,Remote / Contract,0,Not specified,https://www.linkedin.com/jobs/view/full-stack-developer-at-black-flag-creative-4313609052?position=25&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=htK%2FpeYBrGXx8a9lgCqwaQ%3D%3D
Part-Time Frontend Developer (Work From Home),Sozoroad,"Davao, Davao Region, Philippines",Remote / Contract,0,2025-10-10,https://ph.linkedin.com/jobs/view/part-time-frontend-developer-work-from-home-at-sozoroad-4312927244?position=26&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=YJ3AtcGITgUvLauUaWNA%2Fg%3D%3D
Software Engineer Intern,Electronic Arts (EA),"Redwood City, CA",Internship,0-1,Not specified,https://www.linkedin.com/jobs/view/software-engineer-intern-at-electronic-arts-ea-4313108726?position=27&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=AV3ugIAK1NtVth1%2BVMUfOg%3D%3D
Founding Software Engineer,MLabs,"Los Angeles, CA",Remote / Full-time,0-5,Not specified,https://www.linkedin.com/jobs/view/founding-software-engineer-at-mlabs-4313221298?position=29&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=ScvjENQ8LHK50n5V5wLZcg%3D%3D
Front-End Developer - React,Lensa,United States,Contract / Full-time,0,Not specified,https://www.linkedin.com/jobs/view/front-end-developer-react-at-lensa-4313606140?position=30&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=1SVtvE6haviBid06RWFb0g%3D%3D
Fullstack Software Engineer (EU - Remote),Keragon,"Barcelona, Catalonia, Spain",Remote,0,2025-10-10,https://es.linkedin.com/jobs/view/fullstack-software-engineer-eu-remote-at-keragon-4312597729?position=31&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=WwSXH0FFyYAg87gsa923HA%3D%3D
Full-Stack Software Engineer,The Value Maximizer,"Gia Lai, Vietnam",Remote / Full-time,0-1,2025-10-08,https://vn.linkedin.com/jobs/view/full-stack-software-engineer-at-the-value-maximizer-4311736038?position=32&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=3lbWShT8Ocw9lBXcCPQQdg%3D%3D
Software Developer (all genders / 100% remote),fino,Germany,Remote,0,2025-10-09,https://de.linkedin.com/jobs/view/software-developer-all-genders-100%25-remote-at-fino-4309974787?position=33&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=SlbKQMd5r6FJCZ%2BByR6Qbg%3D%3D
Full-Stack Developer,ODAIA,Canada,Remote,3-8,Not specified,https://ca.linkedin.com/jobs/view/full-stack-developer-at-odaia-4313235468?position=34&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=gM%2BBG3Z%2FMNwWh9VNTiUv8w%3D%3D
Software Engineer,Microsoft,"Redmond, WA",Remote,6-11,2025-10-10,https://www.linkedin.com/jobs/view/software-engineer-at-microsoft-4276004502?position=35&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=STdIse4u%2F9hPLfKQt9LNiw%3D%3D
Software Engineer I,Cummins India,"Pune, Maharashtra, India",Remote,0,2025-10-10,https://in.linkedin.com/jobs/view/software-engineer-i-at-cummins-india-4291584982?position=36&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=bhMo3PgwCguu9k%2FIPAASyA%3D%3D
Software Engineer II,McDonald's,"Chicago, IL",Full-time,1-6,2025-10-09,https://www.linkedin.com/jobs/view/software-engineer-ii-at-mcdonald-s-4311653030?position=37&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=g0nkV3eTbD5Km2l6urGE%2Fg%3D%3D
"Software Engineer, Backend Systems",Badge,"Vancouver, British Columbia, Canada",Full-time,4-9,Not specified,https://ca.linkedin.com/jobs/view/software-engineer-backend-systems-at-badge-4298720712?position=39&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=flR3vDhwtNXXEdlCGRTbVg%3D%3D
Graduate Software Engineer,Bending Spoons,"London, England, United Kingdom",Full-time,0,2025-10-09,https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4311818541?position=40&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=khan6%2F65gJWyiUNG3w2MaA%3D%3D
Software Engineer,Zoom,United States,Full-time,5,Not specified,https://www.linkedin.com/jobs/view/software-engineer-at-zoom-4313472929?position=41&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=L1hYdfGmNBoHTQsfMUEUSQ%3D%3D
Front-End Developer,Nestlé Nespresso SA,"Esplugues de Llobregat, Catalonia, Spain",Contract / Full-time,5-10,2025-10-10,https://es.linkedin.com/jobs/view/front-end-developer-at-nestl%C3%A9-nespresso-sa-4312759996?position=42&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=tfL%2Bmhb148N%2BQoGUSH8bag%3D%3D
Software Developer Remote Internship (Frontend),Acowale,India,Remote / Full-time,0,2025-10-09,https://in.linkedin.com/jobs/view/software-developer-remote-internship-frontend-at-acowale-4312136471?position=43&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=AroAjDKcTvLyhEh4W%2BHfLQ%3D%3D
Software Engineer 1,Granicus,United States,Full-time,0,Not specified,https://www.linkedin.com/jobs/view/software-engineer-1-at-granicus-4302841634?position=44&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=IKYipkR3tlD8OfQnvYYRRw%3D%3D
Part-Time Backend Developer (Work From Home),Sozoroad,"Davao, Davao Region, Philippines",Remote / Contract,0,2025-10-10,https://ph.linkedin.com/jobs/view/part-time-backend-developer-work-from-home-at-sozoroad-4312908993?position=45&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=IQVDbohLjRdZiTWWi%2B9PZw%3D%3D
Senior Software Engineer,PointClickCare,"Toronto, Ontario, Canada",Full-time,0,Not specified,https://ca.linkedin.com/jobs/view/senior-software-engineer-at-pointclickcare-4255548945?position=46&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=HO2erJymBgML0QsTk3E8mg%3D%3D
Software Engineer,Stepful,"New York, NY",Full-time,0-1,2025-10-09,https://www.linkedin.com/jobs/view/software-engineer-at-stepful-4302013853?position=47&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=nd4jWibFS006WlMzwQCZ%2Bg%3D%3D
Software Engineer,Jack,United States,Remote,0,2025-10-10,https://www.linkedin.com/jobs/view/software-engineer-at-jack-4306044347?position=49&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=EfFZFNOLvLHTRNgac21MuA%3D%3D
"Full Stack Software Engineer (Remote: Vancouver, BC)",Enbridge,"Vancouver, British Columbia, Canada",Remote / Contract,7-12,2025-10-08,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-remote-vancouver-bc-at-enbridge-4312025051?position=51&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=phdexbF6y1zU6AIPh0IAjg%3D%3D
Junior Software Developer,"T-Rex Solutions, LLC","Washington, DC",Full-time,0-1,Not specified,https://www.linkedin.com/jobs/view/junior-software-developer-at-t-rex-solutions-llc-4313425237?position=53&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=I7T8Be6to87q9J5rRNmXuA%3D%3D
"Software Developer, React/NextJS",Leap Tools,Canada,Full-time,1-4,2025-10-09,https://ca.linkedin.com/jobs/view/software-developer-react-nextjs-at-leap-tools-4312329475?position=56&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=JsvQLyGMgqhtyEwXMrfZcQ%3D%3D
Software Engineering Intern,Samsara,"San Francisco, CA",Internship,0,2025-10-09,https://www.linkedin.com/jobs/view/software-engineering-intern-at-samsara-4290314153?position=57&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=n96C3TZl6y4iyizamdNqFw%3D%3D
Software Developer (Backend),Monk Commerce,India,Remote,2-7,2025-10-08,https://in.linkedin.com/jobs/view/software-developer-backend-at-monk-commerce-4312058514?position=58&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=YCR1XYsTG4f2rsvqBP%2Ffcg%3D%3D
Senior Software Engineer,Calo Inc.,"Manama, Capital Governorate, Bahrain",Full-time,0,2025-10-09,https://bh.linkedin.com/jobs/view/senior-software-engineer-at-calo-inc-4312325914?position=59&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=FESTeG1AVYeuG04NE8gocw%3D%3D
Software Engineer - C#,Rithum,Ireland,Full-time,0-1,2025-10-10,https://ie.linkedin.com/jobs/view/software-engineer-c%23-at-rithum-4302584141?position=60&pageNum=0&refId=o8KbpTk4KPInoPLWqGK%2Blw%3D%3D&trackingId=vrZ9yLsEhsIEeGyrioSJ8g%3D%3D
Backend Developer(Contract) QMP,Not specified,Not specified,Contract,0,2025-09-30,https://www.naukri.com/job-listings-backend-developer-contract-qmp-quinstreet-inc-pune-2-to-4-years-130825501503
Contractual Backend Developer,Not specified,Not specified,Contract,0,2025-10-07,https://www.naukri.com/job-listings-contractual-backend-developer-arm-digital-mumbai-2-to-3-years-020925501170
Contract Hybrid Senior Backend Developer - Azure,Not specified,Not specified,Contract,0,2025-10-11,https://www.naukri.com/job-listings-contract-hybrid-senior-backend-developer-azure-h3-technologies-chennai-7-to-12-years-061025004347
Blockchain\/Crypto\/Smart Contracts : Backend Developer,Not specified,Not specified,Contract,0,2025-09-30,https://www.naukri.com/job-listings-blockchain-crypto-smart-contracts-backend-developer-dev-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-11-years-130624500280
"Software Engineer, Backend",Tinder,"Los Angeles, CA",Full-time,0,2025-10-04,https://www.linkedin.com/jobs/view/software-engineer-backend-at-tinder-4307089715?position=3&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=V9tmNCSz5rVl55IqDDYn%2BA%3D%3D
"Software Engineer, Fullstack, Early Career",Notion,"New York, NY",Full-time,0,2025-09-27,https://www.linkedin.com/jobs/view/software-engineer-fullstack-early-career-at-notion-4296641686?position=4&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=yxtZr8TcNfwiorbJ4GVFkQ%3D%3D
"Software Engineer, Infrastructure, Early Career",Notion,"New York, NY",Full-time,0,2025-10-04,https://www.linkedin.com/jobs/view/software-engineer-infrastructure-early-career-at-notion-4287977248?position=10&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=yJh47O3FJzTnH7SnILFeDQ%3D%3D
"Backend Developer- JAVA, GO, Python",SAP,"Bengaluru, Karnataka, India",Full-time,0,2025-10-08,https://in.linkedin.com/jobs/view/backend-developer-java-go-python-at-sap-4311268700?position=11&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=W7y8fdOwGzJVVVN2%2BohEqg%3D%3D
"Software Engineer (L4) - Member, Commerce & Games Engineering",Netflix,United States,Remote,0,2025-09-27,https://www.linkedin.com/jobs/view/software-engineer-l4-member-commerce-games-engineering-at-netflix-4208343571?position=13&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=35%2BKuJM5aGweHXamgafbVw%3D%3D
"Software Engineer, Backend (All Levels / All Teams)",DoorDash,"Toronto, Ontario, Canada",Full-time,0,2025-09-27,https://ca.linkedin.com/jobs/view/software-engineer-backend-all-levels-all-teams-at-doordash-3998438100?position=14&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=EYbjZar74UhwDeZqXW3w1w%3D%3D
Software Engineer - Backend,Sprout.ai,"London, England, United Kingdom",Full-time,0,2025-08-12,https://uk.linkedin.com/jobs/view/software-engineer-backend-at-sprout-ai-4267259579?position=17&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=tXQ0DA0OExnv0bUD5H0l4w%3D%3D
"Software Engineer - Backend (Mid-Level, Remote)",Lucidya | لوسيديا,Poland,Remote,3,2025-09-27,https://pl.linkedin.com/jobs/view/software-engineer-backend-mid-level-remote-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4303997803?position=21&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=%2BGamMYrPH5LufQdys1Fq%2BQ%3D%3D
Software Engineer,Kobie,"Bengaluru, Karnataka, India",Full-time,3-8,2025-10-04,https://in.linkedin.com/jobs/view/software-engineer-at-kobie-4305800725?position=24&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=hUqL9lytXBeE3dXXo8GtjQ%3D%3D
Backend Developer,Trendyol Group,"Istanbul, Türkiye",Full-time,2-7,2025-09-27,https://tr.linkedin.com/jobs/view/backend-developer-at-trendyol-group-4304005285?position=25&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=8MQEPA4mhxuUXFqha0eq0Q%3D%3D
"Software Engineer, Backend",Asana,"Warsaw, Mazowieckie, Poland",Full-time,0,2025-10-09,https://pl.linkedin.com/jobs/view/software-engineer-backend-at-asana-3996826729?position=26&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=IAxZNmOET62KCzeHmY4fgA%3D%3D
Backend Developer (Python Intern),Shiryam Technologies,India,Remote / Full-time,0,2025-10-04,https://in.linkedin.com/jobs/view/backend-developer-python-intern-at-shiryam-technologies-4306133080?position=27&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=Jr%2F9qKS2bL6N99wtjbRUZg%3D%3D
"Software Engineer - Backend (Senior, Remote)",Lucidya | لوسيديا,Poland,Remote,6,2025-09-27,https://pl.linkedin.com/jobs/view/software-engineer-backend-senior-remote-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4303996790?position=30&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=o%2FvURv6dlTJuCj71yPs0ew%3D%3D
"Software Engineer, Backend (Payments)",Duffel,"London, England, United Kingdom",Full-time,0,2025-06-13,https://uk.linkedin.com/jobs/view/software-engineer-backend-payments-at-duffel-4249427485?position=32&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=BWk5C0Rkxy5TaTB3AiauEg%3D%3D
Backend Developer,GreedyGame,"Bengaluru, Karnataka, India",Full-time,2-5,2025-09-11,https://in.linkedin.com/jobs/view/backend-developer-at-greedygame-4306366245?position=34&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=ktTwH3UiIWeji569KWcowQ%3D%3D
"Software Developer, Backend",Leap Tools,Canada,Full-time,1-4,2025-09-13,https://ca.linkedin.com/jobs/view/software-developer-backend-at-leap-tools-4299476169?position=35&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=u%2Fd0RZxR3cAw0jZVKv6RoQ%3D%3D
Junior Software Engineer (LATAM),Sezzle,Latin America,Full-time,0-3,2025-09-27,https://www.linkedin.com/jobs/view/junior-software-engineer-latam-at-sezzle-4229334006?position=36&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=CS8%2FM6PaHgdIbt6CkXJqHQ%3D%3D
"Senior Software Engineer, Systems Infrastructure",LinkedIn,"Bengaluru, Karnataka, India",Full-time,5-10,2025-09-27,https://in.linkedin.com/jobs/view/senior-software-engineer-systems-infrastructure-at-linkedin-4305435352?position=37&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=ZLgcswC5d2oHvs6YMVX1Og%3D%3D
Backend Developer,Acowale,India,Remote / Full-time,0,2025-10-04,https://in.linkedin.com/jobs/view/backend-developer-at-acowale-4310628740?position=38&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=VFGmb%2FeWck9dD8Sm47Yjqw%3D%3D
Software Engineer - Backend,Maple (getmaple.ca),"Toronto, Ontario, Canada",Remote,0,2025-09-11,https://ca.linkedin.com/jobs/view/software-engineer-backend-at-maple-getmaple-ca-4291638291?position=39&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=C%2B6GtREFqQOG36Cog%2BTPgg%3D%3D
Backend Software Engineer,Soum,Jordan,Contract,0,2025-07-13,https://jo.linkedin.com/jobs/view/backend-software-engineer-at-soum-4278027255?position=40&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=TnLSzQbTweTo%2BSenCb39WA%3D%3D
Backend Developer,IBM,"Bengaluru East, Karnataka, India",Contract,2-7,2025-10-07,https://in.linkedin.com/jobs/view/backend-developer-at-ibm-4298589983?position=41&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=EL4d9d6yMEW8ObttCv4i6A%3D%3D
"Backend Software Engineer, Payments",Lyft,"Toronto, Ontario, Canada",Internship,0,2025-10-04,https://ca.linkedin.com/jobs/view/backend-software-engineer-payments-at-lyft-4299740646?position=45&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=alpgi3%2BlYDFblHb3tF3R6Q%3D%3D
Junior Backend Developer (Node.js),MasterBorn,"Wrocław, Dolnośląskie, Poland",Full-time,1-4,2025-10-04,https://pl.linkedin.com/jobs/view/junior-backend-developer-node-js-at-masterborn-4310461572?position=49&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=Y3gJF56k82P%2FT5gAQo0LxQ%3D%3D
TWW - Backend Developer Jr,The DarwinZone,"Guatemala City, Guatemala, Guatemala",Full-time,0,2025-10-09,https://gt.linkedin.com/jobs/view/tww-backend-developer-jr-at-the-darwinzone-4312771952?position=50&pageNum=0&refId=%2BlbDz5iBCAG3zIPd%2FYjiHA%3D%3D&trackingId=y7xq%2FdBwNy6miDpRCjmYpw%3D%3D
